Symbol	KO_L_C01_REP1	KO_L_C01_REP2	KO_L_C01_REP3	KO_L_C24_REP1	KO_L_C24_REP3	KO_N_C01_REP1	KO_N_C01_REP2	KO_N_C01_REP3	KO_N_C24_REP1	KO_N_C24_REP3	WT_L_C00_REP1	WT_L_C00_REP2	WT_N_C00_REP1	WT_N_C00_REP2	WT_N_C00_REP3
Zzz3	8.67403343621761	8.58056836370689	8.61672706317599	8.65539940189022	8.35576846077369	8.60937211117922	8.52339017144968	8.61827659133751	8.7639915280161	8.76210074730953	8.80857699825121	8.5305047199642	8.6813978846121	8.95116477100008	8.73207791867896
Zzef1	8.25095007713266	7.92231232999883	8.40568606255151	8.26547459760546	7.43929958754066	8.70946111479723	8.6425222085136	8.69896699674297	8.78985388238943	8.61492348488013	7.31869717311048	7.68816532287068	8.36773041892346	8.45456692682954	8.2357081744128
Zyx	8.16658539000617	7.8236805170253	8.20564510597147	8.07962617130913	8.30321315032511	7.35110419859165	6.88317260679914	6.71015976276313	7.02222326715627	6.95189344525773	8.05335139848324	7.90055042619735	7.18585260891022	7.21589642045266	7.20487927941333
Zyg11b	8.30457084969162	8.1222880603452	8.5393859301842	8.40890991710248	8.28008972570022	9.31616832013268	9.09470025283252	9.33262320489564	9.2954721858628	9.33118633825283	8.14933357198237	8.31211314893635	9.21506323803728	9.29397642654842	9.1490983328076
Zxdc	6.2344861011742	6.49590661370845	6.33511357710263	6.80306817180242	6.22345610880389	6.16077814248477	6.38408685078434	6.31394337760387	6.2267106176003	6.29955251345483	5.5300296780306	6.15964464742685	6.01863717390019	6.18455130935386	6.13422056486627
Zxdb	6.36659187032559	6.39635410770394	6.54210316439325	6.27529777598466	6.46161655914187	5.30888699963301	5.50521200092453	5.24735997839238	5.22540726973654	5.27965466273223	6.3071278635915	6.15964464742685	5.10372587297698	5.50973499201007	5.44191895309265
Zwint	8.25095007713266	7.87383944295767	8.32238428155546	8.24171603313257	8.08040577007643	7.78352281877803	8.06989225688065	7.8554076697889	7.88369674235635	7.73630566087214	8.14933357198237	8.30335359954474	7.87468883880577	7.82472458332043	8.10195890712603
Zwilch	3.97215186082374	4.30391727986939	4.75919531798851	4.06131764076795	4.49366500983198	5.58795200484967	4.63409038742297	5.12194872685027	5.26307111317549	4.96747785409356	4.97688172561792	4.75598906839338	5.42074256885386	4.97163071097063	5.28172387130411
Zw10	6.7993686163288	6.3615781597951	6.43623661951266	6.57850562571146	6.73560723437529	6.76816643027003	6.75732110838026	6.65724405014304	7.1870672605279	6.98513494001098	6.55182645302222	6.64937912102857	7.08037193854999	7.01889787441442	7.04650825462005
Zup1	9.87062074131755	10.2880864042956	10.1782799116113	9.35646539504376	9.97621537764694	8.24144957007105	7.88033447604722	8.17672356156158	7.80343712919103	7.77101308488148	10.1443622960722	9.85147381995785	8.58130324590642	8.59057518803069	8.46860493402941
Zswim9	4.10345391899757	1.63628512020582	3.4865896433417	3.75966025383169	3.07333855482893	3.31018482427885	4.93237393738959	4.62421883201029	3.84717712979547	4.52996902566982	3.13253906726493	3.16828509360519	4.61339610005379	4.42502112607063	4.8943097200748
Zswim8	8.86904381191939	8.62517329329128	9.03415761418402	8.85022724947743	8.1243476827385	7.95102349176449	8.07366665996413	7.97905477727069	7.99906056964941	7.80862184119492	8.47983612322612	8.56755496991353	8.38795904787427	8.16968887618238	8.03481959658087
Zswim7	4.43498109850864	4.14498322330083	4.45112215437139	4.30748955836803	3.07333855482893	3.31018482427885	4.25425702769749	4.08313436594492	4.35677569490245	3.94437257605097	1.63628512020582	4.40259813576822	4.19226773494742	3.93931179056877	3.98430897121607
Zswim6	6.97509863096382	6.61876118456565	6.7028922788566	6.25642289863167	6.22345610880389	7.20324219445874	6.99890807325542	7.14102666803937	6.71969550310565	7.03042121151343	5.64028790171004	5.53627923621014	6.19464059217912	6.77643444672644	6.64105204649213
Zswim5	1.63628512020582	1.63628512020582	1.63628512020582	2.44596241102199	2.67254783046388	2.41798058234476	1.63628512020582	2.27932853613905	1.63628512020582	1.63628512020582	1.63628512020582	1.63628512020582	2.58687214073954	1.63628512020582	1.63628512020582
Zswim4	7.43804351497618	7.13315851050248	7.19617830406015	7.36603100146001	7.21375290964472	5.43968667585172	5.33863179730337	5.27116807076236	5.3704325584119	5.32213416807359	7.14325248347022	7.37354558301249	5.42074256885386	5.42083392160217	5.23869477511799
Zswim3	4.22311545125902	4.30391727986939	4.40096738027541	4.75308660814278	3.59879952377238	4.87118536378951	5.59234893486069	5.17344823026142	5.26307111317549	5.23586918132619	4.79681054156763	4.10414562751528	5.3725664042945	5.74742527431295	5.49764148802049
Zswim1	5.66455331462636	5.1699220857077	5.19718624603722	5.76247463631921	5.81417545537002	5.34272850562964	5.31316384422756	5.42753945376877	5.33553625476343	5.1201193454814	5.41055191530227	5.41077878080444	5.18052702220089	5.38366356717386	5.28172387130411
Zscan30	5.7051363462874	5.32314612879206	5.53149866836839	5.73542064519967	6.19070916035661	5.53047774425189	5.38824242959755	5.64316135464627	5.2997643219021	5.94089024079407	6.16716195410284	5.53627923621014	6.02900185211865	6.26821086857008	6.07457445695328
Zscan29	6.44039835693181	7.02629400493904	6.9015343434125	6.90345325765544	6.88622375840703	8.25476356266455	8.10351149006723	8.21075849685798	8.60555079634875	8.40264400403527	7.4750878160037	7.57625205699057	8.66159459925867	8.73884478543349	8.72241313376271
Zscan26	7.78791126484801	7.30756577800847	7.80884240662779	7.58581170786316	7.76218998176159	8.58849312504565	8.36300815221622	8.48050094499485	8.39420249837278	8.52967322126553	7.61616273206768	7.15718595017122	8.51295209856107	8.51351639442417	8.31244566247943
Zscan25	5.57976397215669	5.46148490963307	6.18333070079725	5.70784601372582	6.25547375418856	5.86844150903786	5.94632397242621	5.67909871127341	5.90966362528908	5.65643070236529	4.97688172561792	5.41077878080444	6.02900185211865	5.56053663519499	6.02500779243731
Zscan22	5.11999276127309	4.99815837474807	4.79815333877061	5.46574412731099	5.58090702769089	5.72228402726869	5.84368521032946	5.73136850642179	5.78624702157878	5.9272452130592	5.13659657686248	4.5306140892084	5.7060832548522	5.77633317760756	5.77797499719824
Zscan21	5.66455331462636	6.52761712466586	6.25431451207539	6.29392812119144	6.5926494155333	6.48123948045709	6.56677068798167	6.36985908552769	6.77257532735756	6.31009430352546	6.37231312243538	5.99497612266027	6.44719386046126	6.85287474866724	6.51222571420127
Zscan20	4.52985351179626	4.4463399945378	4.67787922476498	4.14842342671236	4.87399327218748	5.27422224972222	5.31316384422756	4.79941127883655	4.92943060291732	4.91270711683032	3.67461029799926	4.5306140892084	5.16171244445452	5.13764364667169	4.92188699841818
Zscan2	2.60074460672912	2.76541801791132	2.329543967376	3.75966025383169	3.07333855482893	4.7747049532096	3.45505619731903	3.96770418593498	3.84717712979547	4.10355897175217	3.67461029799926	2.74379719808008	3.69288562813061	3.50136807561942	4.08786990571431
Zscan18	1.63628512020582	1.63628512020582	2.329543967376	1.63628512020582	1.63628512020582	1.63628512020582	1.63628512020582	1.63628512020582	2.43718615155691	2.68911923752546	1.63628512020582	1.63628512020582	1.63628512020582	2.47619581994552	2.49549353943458
Zscan12	5.23574082714261	4.57547099371245	5.16790341530581	5.59191005044324	6.15719878280726	5.67005362046249	4.99803053596171	5.73136850642179	5.88581518638191	5.9942091421453	4.97688172561792	5.1208262147619	5.35613928253257	5.50973499201007	5.79287395461269
Zscan10	1.63628512020582	1.63628512020582	2.329543967376	1.63628512020582	1.63628512020582	1.63628512020582	1.63628512020582	2.27932853613905	1.63628512020582	1.63628512020582	1.63628512020582	1.63628512020582	1.63628512020582	1.63628512020582	1.63628512020582
Zrsr2-ps1	4.92647673767792	5.39399127198957	4.94403027749074	4.38059551099809	5.10409456638828	6.6386313883835	6.46687766491255	6.80239379814085	6.86068624227506	6.9247368075416	5.28015124801864	4.5306140892084	6.40806211168416	6.68053281242293	6.93705458517099
Zrsr2	7.08648577047795	7.17378013010299	6.99559177554305	7.21799205593685	7.79518956699558	6.04269561494414	6.27012195242287	6.48572086652848	6.20761727349599	6.67870738999491	7.35136196797315	6.9705223079366	6.28384419208547	6.26821086857008	6.62452680742957
Zranb3	5.39342666247716	4.69364889287625	5.28158314806894	6.68108436657202	6.98491523623319	6.58336840650295	6.55600769726431	6.64823258431905	7.99906056964941	8.00930012098278	5.64028790171004	5.41077878080444	6.64860590070936	6.40383689969687	6.64105204649213
Zranb2	9.22588167345089	9.29291389966746	9.13148354448873	8.89355983075345	9.17250929248262	8.68999118511368	8.46711101200341	8.6320423448518	8.30733630796623	8.7369661006846	9.58180782724322	9.25325933102424	8.80388877580379	8.85988634449731	9.02722077675929
Zranb1	8.93852524789152	8.85478353569295	8.81023465588996	8.93266407232401	9.3005858462216	8.84179802883768	8.74784527201298	8.90764458250437	8.6343857947724	9.05900784445244	8.9538736456283	8.77185133020189	8.60049936203383	8.74067355040314	8.80348775554923
Zpr1	7.37676462552337	7.34361555807033	7.51185032108879	7.3483364220908	7.0592732906425	7.52970190053695	7.54182598524595	7.39902106816006	7.56960263336852	7.46670343320966	7.58903039439142	7.47065356884332	7.63166599256988	7.47519660841991	7.58798146147711
