RefSeq_ID	KO_L_C01_REP1	KO_L_C01_REP2	KO_L_C01_REP3	KO_L_C24_REP1	KO_L_C24_REP2	KO_L_C24_REP3	KO_N_C01_REP1	KO_N_C01_REP2	KO_N_C01_REP3	KO_N_C24_REP1	KO_N_C24_REP2	KO_N_C24_REP3	WT_L_C00_REP1	WT_L_C00_REP2	WT_L_C00_REP3	WT_N_C00_REP1	WT_N_C00_REP2	WT_N_C00_REP3	
1700007E05Rik	0.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000	0.000	0.000
3110009M11Rik	1.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000
3110067C02Rik	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2.000	1.000	0.000	1.000	0.000	0.000	0.000	0.000	1.000	4.000
4930431P19Rik	0.000	2.000	2.500	3.000	0.000	2.000	2.000	2.000	3.500	2.500	1.000	2.000	2.000	0.000	0.500	4.500	2.500	7.000
4930526A20Rik	0.000	0.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	3.000	0.500	0.000
4933427G23Rik	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0.000	2.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000
9530050K03Rik	0.000	0.000	0.000	0.500	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	2.000	1.000	0.000
AA684185	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
AK157302	1.500	2.500	3.500	0.500	0.000	0.000	1.500	3.000	3.000	3.500	0.000	2.500	0.000	5.000	0.000	4.000	3.500	2.500
Actb-ps1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.500	0.000	0.000	0.000	0.000	0.000	1.000	0.000	0.000
Actg-ps1	0.000	0.500	3.000	2.500	0.000	2.500	0.500	0.000	0.500	0.000	0.000	1.000	0.000	0.500	0.000	1.000	1.500	1.000
Actr3-ps	269.500	200.000	473.000	319.500	0.000	270.500	265.000	487.000	567.000	242.500	31.000	404.000	146.000	235.000	54.000	624.000	520.000	648.500
Ak3l2-ps	0.500	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
Akp-ps1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0.000	0.000
Akt2-ps	29.000	18.000	31.500	16.500	0.000	18.500	15.000	57.000	55.000	36.500	13.500	35.000	15.500	39.000	2.500	36.000	40.000	37.000
Aldoa-ps3	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
Aldoa-ps4	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
Alms1-ps1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.500	0.000	0.000	0.000	0.000	0.000	0.000
Amd-ps1	1.000	0.500	0.000	0.500	0.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.500	1.500
Amd-ps2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
Amd-ps3	7.500	8.000	7.000	11.000	0.000	3.500	8.500	6.500	11.500	3.000	11.000	14.500	7.000	3.000	0.500	11.000	12.000	7.500
Amd-ps4	1.500	1.000	3.500	1.500	0.000	4.500	0.000	0.000	2.500	5.500	0.000	5.500	1.000	0.000	0.000	1.500	1.000	3.000
Amd-ps5	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
Amd-ps6	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
Amd-ps7	0.000	0.000	1.000	0.000	0.000	0.000	0.000	2.000	0.000	1.000	0.000	2.500	0.000	0.000	0.000	1.500	0.000	1.000
Amy2-ps1	1.000	0.000	0.000	0.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
Anapc15-ps	0.000	2.500	2.000	4.000	0.000	4.000	0.000	8.000	4.000	0.000	2.000	4.000	1.000	1.500	0.500	6.500	5.500	1.500
Ang-ps1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
Ang-ps2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
Ang-ps3	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
Anp32-ps	0.000	0.000	0.500	0.500	0.000	0.500	0.000	0.000	0.000	0.500	0.000	0.000	1.000	0.000	0.500	0.000	1.500	1.000
Anp32b-ps1	5.000	4.500	2.000	2.000	0.000	5.000	7.000	3.500	5.000	4.500	0.000	1.000	1.000	1.500	2.000	4.500	2.000	7.000
Ap2m1-ps	161.500	104.500	332.000	207.500	0.000	95.000	147.000	224.000	272.000	147.000	25.000	258.500	65.000	101.500	29.000	381.000	300.500	289.000
Ap3m1-ps	5.000	1.500	3.000	2.500	0.000	1.500	6.000	7.500	5.500	1.500	0.500	8.000	0.000	3.000	0.000	5.500	5.000	9.000
Ap3s1-ps1	34.000	39.500	80.500	51.000	0.000	38.500	63.500	45.500	53.000	53.000	8.000	100.000	21.500	33.500	13.000	92.500	98.500	83.000
Ap3s1-ps2	8.000	5.500	10.000	5.500	0.000	9.000	3.500	11.000	7.000	5.500	3.000	15.500	1.000	5.000	1.000	13.500	9.500	8.000
Apc-ps1	1.000	0.000	1.000	1.000	0.000	0.000	0.000	2.000	2.000	0.000	0.000	0.000	0.000	0.000	0.000	0.500	5.500	2.000
Api5-ps	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
Apol10c-ps	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
Aprt-ps	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
Aqp10-ps	0.000	0.000	0.000	0.000	0.000	0.000	1.000	2.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	0.000	1.000	0.000
Ass-ps1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
Atg4a-ps	15.500	18.500	21.500	18.500	0.000	18.000	9.500	30.000	16.000	12.000	1.500	11.500	5.500	10.000	5.000	23.000	16.000	15.000
Atp5c1-ps	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0.000
Atp5k-ps1	0.000	0.500	1.000	0.000	0.000	0.000	1.000	1.000	3.500	0.000	0.000	0.500	0.000	0.000	0.000	1.500	1.500	0.000
Atp5k-ps2	2.000	4.000	6.000	14.000	0.000	0.000	2.500	13.000	8.000	2.000	4.000	7.500	3.000	4.500	4.500	5.500	5.500	6.500
Atp5k-ps3	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
Atp5k-ps4	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
Atp5l-ps1	0.000	1.500	1.500	0.000	0.000	0.000	0.000	2.000	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000	2.000
Atp5l-ps2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
Atp5l2-ps	2.500	0.000	3.000	1.500	0.000	1.000	3.500	2.500	2.000	0.000	1.000	2.000	0.000	1.000	0.000	1.500	2.000	0.500
Atp5pb-ps	15.000	13.500	36.500	27.000	0.000	32.000	23.000	34.500	53.500	16.500	4.000	50.000	16.500	20.500	7.500	48.500	33.000	56.500
Atp6v0c-ps1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
B020017C02Rik	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0.000
BC023105	12.500	27.500	33.000	8.000	0.000	10.000	1.500	0.000	3.000	1.000	0.000	1.000	9.500	14.000	9.000	4.000	9.000	10.000
BC085271	3.500	0.500	4.500	0.500	0.000	1.500	2.500	0.000	5.000	1.000	1.000	1.500	0.000	0.000	0.000	3.500	5.500	1.000
BC106175	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
Bc1-ps1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
Best4-ps	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
Bhmt-ps1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
Bloc1s2-ps	0.000	0.000	1.000	1.500	0.000	5.500	1.000	5.000	6.000	3.500	1.500	2.000	2.000	2.500	1.500	2.000	2.000	1.500
Bmp4-ps	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
Bod1-ps	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.500	0.000
Btbd35f24	0.000	0.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
Btf3-ps1	80.000	75.500	116.500	97.500	0.000	74.500	61.000	90.000	131.500	62.500	41.000	86.000	36.500	65.000	22.500	107.000	94.500	114.500
Btf3-ps10	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
Btf3-ps11	2.000	0.000	1.000	1.500	0.000	1.500	0.000	0.000	0.000	0.000	0.000	0.000	0.500	1.500	0.000	0.000	0.000	0.000
Btf3-ps14	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
Btf3-ps15	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
Btf3-ps16	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.500	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.500	0.000
Btf3-ps18	0.000	0.000	5.500	1.000	0.000	1.000	4.500	4.000	2.000	5.500	2.000	7.000	1.000	1.000	0.000	9.000	10.000	4.000
Btf3-ps3	0.000	0.000	0.500	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
Btf3-ps4	0.000	1.000	0.500	0.000	0.000	1.000	2.000	0.000	1.000	1.500	0.000	0.000	0.000	1.000	1.000	0.500	0.000	0.500
Btf3-ps5	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
Btf3-ps6	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
Btf3-ps7	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
Btf3-ps8	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000
Btf3-ps9	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0.000	0.000
Btnl7-ps	0.500	0.000	2.000	2.000	0.000	0.000	2.000	0.500	1.000	0.500	2.000	1.500	2.000	3.000	0.000	2.500	1.500	2.000
C11H17orf113	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
C87114	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0.000
Calhm3	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.500	0.000	0.000	0.000	0.000
Casp16	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
Cbfa2t2-ps1	2.000	1.000	1.500	1.000	0.000	1.000	2.500	7.000	8.500	2.000	0.000	5.000	3.000	0.000	0.000	2.500	6.000	3.000
Cbx3-ps3	2.000	0.000	0.000	1.000	0.000	0.000	1.000	2.000	2.000	0.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	4.000
Cbx3-ps4	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
Cbx3-ps6	5.500	9.500	13.500	12.000	0.000	5.500	14.500	17.000	26.500	28.000	2.500	27.500	7.500	10.500	4.000	27.000	21.500	27.500
Cbx3-ps7	2.000	0.000	1.000	3.500	0.000	3.500	11.000	3.000	1.500	0.500	1.000	2.500	5.000	3.000	0.000	3.000	1.500	3.000
Cbx3-ps8	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.500	0.500	0.000	0.000	0.000	0.000
Ccdc50-ps	0.000	1.500	1.000	0.000	0.000	2.000	1.000	1.000	1.000	1.000	0.000	1.000	0.000	0.500	0.000	0.500	1.500	1.000
Ccl16-ps	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
Ccl19-ps3	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
Ccnb2-ps	0.000	0.000	0.000	0.000	0.000	0.000	3.000	2.000	6.000	0.000	0.000	3.500	0.000	0.000	0.000	0.000	0.000	2.500
Ccnd3-ps	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.500
Ccpn-ps	2.500	2.000	8.500	2.000	0.000	1.500	2.500	2.500	2.500	3.000	0.000	6.500	3.000	2.000	0.500	8.000	5.000	11.500
