peak	baseMean	log2FoldChange	lfcSE	pvalue	padj
Fcrl2	1673.82309669791	4.84540841689433	0.120267961992634	0	0
Il6st	274.001868997913	4.6244448850635	0.21081066583286	2.79379724212379e-107	1.68605663562171e-103
Prkd3	627.40321042554	2.68127916722521	0.129038481005197	1.07591537843299e-98	4.3287662058954e-95
Man1a	487.665602512352	3.91563408629923	0.199046095092743	2.34535983883714e-87	7.07712331369108e-84
Clec10a	305.18455924656	2.08041089306889	0.109475954581777	4.42623475837234e-82	1.06849307067108e-78
Dst	160.225214121755	-5.85541990775627	0.353035350332629	2.47697781399232e-62	4.98285370248121e-59
Mfge8	76.6422823587222	-6.47895988252538	0.400689663511991	1.89689372834976e-59	3.27078675731165e-56
Entpd1	633.03723774023	1.93866380756641	0.122593294033996	1.14364322572969e-57	1.72547171681968e-54
Sema3e	66.9512948311899	-5.66429750519397	0.391229065561335	4.78113498438815e-48	6.41203325128499e-45
Sbf2	192.943056647069	2.68328392898482	0.190398032339661	7.50094713224352e-48	9.05364318861793e-45
Gpx3	95.0819747635682	-7.80846935139249	0.566895313005715	4.33988018853756e-44	4.76203217051348e-41
Cd63	218.31925666658	-9.86321484536952	0.825999950500246	2.21397929129424e-34	2.22689417049346e-31
Klra2	83.6016881319812	-2.60729545109293	0.230573505450245	2.96569044348195e-32	2.75352951175593e-29
Colec12	174.746733422877	-10.2438414563314	0.897223067771544	7.69075801351756e-32	6.63053208736835e-29
Sh3bp5	422.540824928459	1.15967097634783	0.105129148905088	1.8869002159076e-29	1.51832570706698e-26
Serinc5	55.6630317957388	2.25208270717612	0.212625603005822	3.83237202553307e-28	2.89104564676151e-25
Bcl2a1b	5581.41342790772	1.06935240489654	0.10145923169873	3.52640318093739e-27	2.50374625846555e-24
Ckb	81.9708169566066	2.16288196600705	0.207996895148073	4.45721279228031e-27	2.98880880015685e-24
Dhrs9	79.5392123261403	-1.75023521838067	0.166877090681203	6.02629303525057e-27	3.82828194397233e-24
Itga6	941.047162362277	1.34138446628554	0.127895941958084	6.76476008156032e-27	4.08253270922166e-24
Igfbp4	830.033404226328	1.7311979246135	0.166526487719701	1.62546162645637e-26	9.34253420539445e-24
Akr1c13	99.98547020151	1.73486964792485	0.16863842529475	4.99865890154905e-26	2.74244604280441e-23
Apoc2	2612.01931786542	1.0259902036832	0.100454985578237	9.39204903185599e-26	4.92878399193486e-23
Apoc2l	2572.82549378341	1.02285748651329	0.100416517655256	1.22828937251835e-25	6.1772719692902e-23
Rnase4	284.902626697429	1.28176862191836	0.125868606398447	1.61530872157604e-25	7.79871050776911e-23
Met	548.326522410431	-2.38694422616289	0.240227619248835	1.8197803674989e-25	8.44798039835066e-23
Tnfsf15	764.141547498116	-3.33872049675245	0.345475135354478	1.86217216297922e-24	8.32459926191082e-22
Plp2	36.4339501522454	-9.10458799304565	0.928268349434333	5.06931507069471e-24	2.18523688940304e-21
Lifr	59.6827860395298	2.15531633263363	0.223183226783622	8.26752979592383e-24	3.44100291851037e-21
Fcgr3	2109.64328647408	0.898765058045289	0.0946589801663922	5.49807262405031e-23	2.21205788574291e-20
Rnf144b	236.377496343799	-1.11608682170782	0.117359084246939	1.19883026322959e-22	4.66770363780038e-20
Serpinb6b	277.904863960855	-1.58928506127418	0.168344967789025	2.48609241336314e-22	9.37722982165408e-20
Mef2c	795.218299466477	0.853756048676008	0.0930637618179553	7.65355361997667e-22	2.79934521797328e-19
E2f2	32.0032864285212	3.81425565872604	0.418840687880308	2.00903825416743e-21	7.13208580229438e-19
Mbp	423.670350028343	1.18015838791262	0.129868352592604	6.57035779864188e-21	2.26583481798878e-18
F13a1	1130.23001412761	3.01343410179619	0.346945906065678	7.57730071283935e-21	2.54050054455475e-18
Gas6	71.1295776109454	7.61279074542626	0.840789140054437	1.67929544282809e-20	5.47813405268515e-18
Procr	50.181446921566	-3.94980652829215	0.444051720727181	2.07089785837278e-20	6.5778255659367e-18
Frrs1	333.265490505634	-0.7689734408931	0.0887157953110625	3.77867464306028e-20	1.16945135748045e-17
Rps3a1	5147.56630645237	0.562153257280038	0.0650410193789545	9.93983880379793e-20	2.99934635904602e-17
H2-K1	5691.43031532306	-0.690910237795285	0.0819720801091379	2.40801268546775e-19	7.08895441795018e-17
S100a11	1503.90707251981	-1.31882504382241	0.152896604682279	4.1840271053228e-19	1.20240969431539e-16
Prickle3	17.4364012379503	-8.05223283051146	0.947077926087431	1.71821848309707e-18	4.8229993234841e-16
Kif3a	588.417749458534	0.993107363906593	0.118793962982404	2.47732780859331e-18	6.79576060220937e-16
B4galt6	1657.61499806905	0.93612936833915	0.113022957417862	3.43731436241249e-18	9.21964096762638e-16
Atp1a3	548.960782208254	0.766512210199018	0.0949528007324884	5.84071788796592e-18	1.53255358495106e-15
Rab6b	44.3446785190509	6.81452443705991	0.81720819031052	1.33484465799034e-17	3.42799468551988e-15
Lgmn	1811.68725114986	1.4216301455151	0.17366310600235	1.75240447747661e-17	4.40656709232139e-15
Actn1	1329.76193053868	-0.710073307938296	0.0905269573835428	3.11143425174298e-17	7.66428804459955e-15
Ptchd1	13.1807928294865	-5.3446961644905	0.653079051111715	6.20242107329813e-17	1.49726444709417e-14
Maoa	16.3831371615123	-7.69661448361504	0.951995843191392	6.97327415192135e-17	1.65034154928805e-14
Bdh1	11.7776947442034	-7.85405501095824	0.976467399283198	8.89779806185091e-17	2.06531581935655e-14
Oas1g	296.288175504661	-1.38549969434348	0.173949332428027	1.05871692383527e-16	2.4110779756022e-14
C1qc	834.31075609539	0.894499176816583	0.114706687457026	1.27417374370906e-16	2.84801427529043e-14
Eid1	1098.24646719038	0.894659329238859	0.115109896700463	1.56103800207575e-16	3.42576885182806e-14
Zmynd8	441.572395408975	1.10417794566358	0.140712145675934	2.23664258528678e-16	4.82076357221633e-14
Syp	46.2722445194202	2.3864792345615	0.316402113858743	3.04595679364713e-16	6.44994710514401e-14
