peak	baseMean	log2FoldChange	lfcSE	pvalue	padj
Tnf	12167.2740610498	7.34565111697693	0.151699385848627	0	0
Saa3	7973.20361013528	7.60496285871009	0.19312314904947	0	0
Ptgs2	11804.0119349239	10.3916885599522	0.235030806708645	0	0
Nfkbiz	3563.95260018866	6.17827777022511	0.161755242919087	0	0
Malt1	4262.96562831302	4.48021974896568	0.110307539679807	0	0
Il1b	18331.3471017782	9.64935857206409	0.204076699530694	0	0
Il1a	7806.5150732244	11.3190728564754	0.253272756350731	0	0
Cxcl2	22931.8053833082	9.34578623400653	0.242867248695493	0	0
Ccl4	4704.19927087824	7.01600454337239	0.159827115966276	0	0
Ccl3	15161.4489299269	7.30390440760811	0.155391639939255	0	0
Bcl2a1b	5581.41342790772	4.93539879269724	0.12314358156034	0	0
Ccl9	27964.9346932086	3.24883920900463	0.0869438860284134	2.29275866035642e-307	2.14411147387664e-304
Marcksl1	7263.39231198686	5.16716232056691	0.140326664215074	5.68796374184577e-299	4.91002531623025e-296
Pim1	2440.21293886753	4.74022668433313	0.128852603055397	6.43234237548589e-299	5.15598186697876e-296
Ccrl2	1654.66034681035	5.90294951089496	0.162071790339763	7.46451800447441e-292	5.58445473641412e-289
Nfkbia	4910.69985240037	5.25022969585783	0.146917418032258	9.68386591276539e-282	6.79202145456583e-279
Acsl1	5758.77208456874	3.9492022803472	0.111770061578304	3.5098755783061e-276	2.31693080822065e-273
Socs3	2943.1027284046	9.43574313377535	0.27220984283222	1.53173042536684e-264	9.54948824081482e-262
Bcl2a1d	3176.85367095221	5.24981758124	0.152693840017372	4.22149562634178e-261	2.49334862730565e-258
Gbp5	4120.12855557309	6.55355343439006	0.192799625717453	2.36586731537483e-254	1.32748815065682e-251
Slc7a2	2220.01549342849	6.31816700122915	0.198820404950762	8.4560801392349e-223	4.518768158214e-220
Zc3h12a	1077.36338775325	4.37875524242609	0.139596642129975	7.54686701263064e-219	3.84958825526095e-216
Cflar	7050.20774471572	3.7300052670324	0.120642377812166	2.41530638775787e-212	1.17845949058343e-209
Ripk2	1621.86945052909	4.41097532321953	0.144046888602218	8.51781596634053e-209	3.98278878226139e-206
Nfkbie	892.289078340056	3.47770434622162	0.113517876390764	3.31643695267269e-208	1.48868221931572e-205
Lcp2	3850.52882751309	3.58336668556141	0.117043177474536	4.27444020588904e-208	1.84491415348026e-205
Ehd1	2689.86754837714	4.24883729215764	0.140017580437514	3.87158715700109e-205	1.60914633614319e-202
Nlrp3	3629.5155529148	3.62674630277777	0.11981038994024	1.36467085707622e-203	5.46940584218192e-201
Kpna3	4415.68602193116	3.17762487201022	0.105186554165341	3.72110950667462e-202	1.43994106496216e-199
Tes	951.617601463806	3.25764124851812	0.108586585160406	1.60754605907562e-199	6.01329395831555e-197
Septin11	1222.67515585492	4.02994309916633	0.135053639230825	2.00576086160593e-198	7.26085431901347e-196
Tnfaip3	6833.34399927376	6.53167838366029	0.220757285379745	1.670451762041e-193	5.85806552300755e-191
Tfec	1405.60495365592	4.25352585061268	0.146224622475901	6.56989847901109e-189	2.23416365852916e-186
Tnfaip2	10002.9730565527	3.79099161190644	0.133076957630199	4.96554395099864e-181	1.6389215946502e-178
Rrs1	790.739404724735	3.21180987829062	0.113404639802658	3.53825598109111e-178	1.13446596056584e-175
Eeig2	2149.14708246272	3.0881745739019	0.10937629794233	5.78458146999975e-177	1.80318259045381e-174
Plek	35223.3460075971	3.83799314638219	0.138170823596731	2.11846054206237e-172	6.42523356838486e-170
Bcl2a1a	1495.1703307256	6.47940422828643	0.238683039119848	2.05518527874142e-163	6.06928663106217e-161
Dcun1d3	1375.43118398413	4.29137618707199	0.161064396713278	2.80173449315258e-159	8.06181140568162e-157
Rnd1	2569.51033730007	7.33029214665094	0.274924971963529	1.27941749010282e-157	3.58940576848347e-155
Frmd6	892.139510846046	5.19814698898206	0.196209260864622	8.66427474087345e-157	2.37147539370931e-154
Rnf19b	1466.43514090767	2.57147662518751	0.0973026894885034	2.64882415787837e-155	7.07740588088358e-153
Mmp13	2842.18993624421	6.67116753857139	0.252632698652358	9.59534543688847e-155	2.50416201145959e-152
Ccl22	513.564543438249	5.87992925738034	0.227179146610429	3.74358409078434e-149	9.54784106063225e-147
Foxp1	2169.47479150506	2.60916644492058	0.101849388063256	3.95300788261674e-146	9.85792321305002e-144
Dusp16	1349.6168964001	5.29326375534644	0.207870856309655	4.68313188815782e-145	1.14248056628059e-142
Sod2	5378.44144873767	4.07425631425124	0.161528751717925	3.54682699368584e-143	8.46861543045585e-141
Peli1	2134.34594671062	3.62344429646249	0.146801116444111	8.18683981490876e-137	1.91401492506054e-134
Tlr2	6506.34888484303	3.52445441325439	0.143793871045397	7.91927403721029e-135	1.81367537235865e-132
Clec4e	16547.5762742175	4.61166349373174	0.189962530122552	6.03516245252365e-133	1.35453186084441e-130
