Tag Length (Average tag length = 94.482850)	Fraction of Tags
0	0.000000
1	0.000814
2	0.000200
3	0.002071
4	0.001391
5	0.000769
6	0.000821
7	0.001747
8	0.002611
9	0.002840
10	0.001673
11	0.007554
12	0.004190
13	0.002479
14	0.002021
15	0.011547
16	0.003789
17	0.005034
18	0.002040
19	0.072962
20	0.002635
21	0.004769
22	0.024183
23	0.004854
24	0.002088
25	0.013774
26	0.001485
27	0.002205
28	0.002724
29	0.002704
30	0.003001
31	0.002197
32	0.002091
33	0.003142
34	0.003018
35	0.002081
36	0.005747
37	0.001565
38	0.010004
39	0.001580
40	0.001190
41	0.002597
42	0.001637
43	0.001940
44	0.001480
45	0.002499
46	0.004486
47	0.003601
48	0.001452
49	0.001541
50	0.001941
51	0.003342
52	0.002005
53	0.001952
54	0.001764
55	0.001851
56	0.003999
57	0.002502
58	0.004587
59	0.002474
60	0.001544
61	0.001528
62	0.005156
63	0.006303
64	0.001473
65	0.001825
66	0.003380
67	0.001647
68	0.001586
69	0.001815
70	0.002022
71	0.001963
72	0.004371
73	0.002139
74	0.002880
75	0.003804
76	0.002002
77	0.002099
78	0.002160
79	0.002915
80	0.003627
81	0.002932
82	0.004226
83	0.004521
84	0.003957
85	0.003892
86	0.002929
87	0.004701
88	0.003330
89	0.003055
90	0.007678
91	0.004873
92	0.004041
93	0.003485
94	0.003216
95	0.004469
96	0.003187
97	0.003173
98	0.003960
99	0.004802
100	0.003918
101	0.003459
102	0.003351
103	0.003034
104	0.005228
105	0.003777
106	0.004179
107	0.004219
108	0.010390
109	0.010586
110	0.012448
111	0.031463
112	0.014342
113	0.012096
114	0.008055
115	0.021143
116	0.003282
117	0.030680
118	0.004497
119	0.007854
120	0.004549
121	0.005147
122	0.007069
123	0.004833
124	0.009844
125	0.004806
126	0.011321
127	0.015997
128	0.005323
129	0.008021
130	0.016161
131	0.030123
132	0.009597
133	0.013926
134	0.018227
135	0.012290
136	0.014442
137	0.023043
138	0.021424
139	0.011440
140	0.015822
141	0.022461
142	0.019981
143	0.010858
144	0.007406
145	0.011575
146	0.006668
147	0.008947
148	0.002250
149	0.008725
150	0.008368
151	0.027454
