name	Unique Positions	Total Tags
genome=hg38	114468	393353.0
fragmentLengthEstimate=100		
peakSizeEstimate=100		
tagsPerBP=0.000000		
averageTagsPerPosition=3.093		
medianTagsPerPosition=0		
averageTagLength=94.483		
gsizeEstimate=3075191995		
averageFragmentGCcontent=-1.000		
singleTagFile=true		
chr1	13433	55618.0
chr2	10767	12260.0
chr3	6331	7758.0
chr4	4015	5955.0
chr5	6681	7273.0
chr6	6556	18902.0
chr7	4472	6961.0
chr8	3169	3032.0
chr9	4213	7081.0
chr10	5277	8362.0
chr11	5235	5901.0
chr12	8590	124874.0
chr13	1998	1857.0
chr14	4144	6992.0
chr15	2235	2716.0
chr16	3046	3535.0
chr17	6508	10630.0
chr18	783	748.0
chr19	1809	1530.0
chr20	1602	1323.0
chr21	3358	48120.0
chr22	1591	3483.0
chrX	3785	4100.0
chrY	154	136.0
chrM	2319	4189.0
chr12_GL383552v1_alt	8	13.0
chr14_GL000009v2_random	1	1.0
chr14_GL000194v1_random	6	3.0
chr14_GL000225v1_random	4	2.0
chr15_KI270905v1_alt	7	4.0
chr16_KI270728v1_random	4	2.0
chr16_KI270853v1_alt	2	2.0
chr17_GL000205v2_random	2	1.0
chr17_GL000258v2_alt	5	3.0
chr17_KI270729v1_random	2	1.0
chr17_KI270857v1_alt	2	1.0
chr1_KI270706v1_random	3	2.0
chr1_KI270765v1_alt	2	1.0
chr22_KI270733v1_random	2096	39796.0
chr22_KI270738v1_random	2	1.0
chr22_KI270878v1_alt	2	2.0
chr22_KI270879v1_alt	2	2.0
chr2_KI270773v1_alt	1	1.0
chr3_GL000221v1_random	2	1.0
chr4_KI270789v1_alt	4	2.0
chr4_KI270925v1_alt	2	1.0
chr6_GL000251v2_alt	5	3.0
chr6_GL000252v2_alt	10	13.0
chr6_GL000254v2_alt	2	2.0
chr6_GL000255v2_alt	16	11.0
chr6_GL000256v2_alt	40	31.0
chr7_KI270803v1_alt	1	1.0
chr8_KI270900v1_alt	1	1.0
chr9_KI270719v1_random	2	1.0
chr9_KI270720v1_random	2	1.0
chrUn_GL000216v2	3	2.0
chrUn_GL000218v1	8	6.0
chrUn_GL000219v1	2	1.0
chrUn_GL000220v1	6	4.0
chrUn_KI270337v1	2	1.0
chrUn_KI270382v1	2	1.0
chrUn_KI270435v1	2	1.0
chrUn_KI270438v1	10	6.0
chrUn_KI270442v1	6	3.0
chrUn_KI270467v1	7	4.0
chrUn_KI270512v1	2	1.0
chrUn_KI270516v1	2	1.0
chrUn_KI270518v1	2	1.0
chrUn_KI270519v1	4	2.0
chrUn_KI270742v1	4	2.0
chrUn_KI270743v1	4	3.0
chrUn_KI270747v1	2	1.0
chrUn_KI270749v1	2	1.0
chrUn_KI270750v1	2	1.0
chrUn_KI270751v1	2	1.0
chrUn_KI270752v1	85	68.0
cmd=makeTagDirectory HOMER_tagDirs/mouse_F_ldlr_PlaqueMacrophages_RNA_2301_DMSO_poolA_RK_I20231020.sorted.dups_marked.HOMER_tagDir filtered_BAM/mouse_F_ldlr_PlaqueMacrophages_RNA_2301_DMSO_poolA_RK_I20231020.sorted.dups_marked.filtered.bam -genome hg38 -sspe -single		
